2015-04-29 14:02:450
2015-04-29 14:02:450.062791
2015-04-29 14:02:450.125333
2015-04-29 14:02:450.187381
2015-04-29 14:02:450.24869
2015-04-29 14:02:450.309017
2015-04-29 14:02:450.368124
2015-04-29 14:02:450.425779
2015-04-29 14:02:450.481754
2015-04-29 14:02:450.535827
2015-04-29 14:02:450.587785
2015-04-29 14:02:450.637424
2015-04-29 14:02:450.684547
2015-04-29 14:02:450.728969
2015-04-29 14:02:450.770513
2015-04-29 14:02:450.809017
2015-04-29 14:02:450.844328
2015-04-29 14:02:450.876307
2015-04-29 14:02:450.904827
2015-04-29 14:02:450.929776
2015-04-29 14:02:450.951056
2015-04-29 14:02:450.968583
2015-04-29 14:02:450.982287
2015-04-29 14:02:450.992115
2015-04-29 14:02:450.998027
2015-04-29 14:02:451
2015-04-29 14:02:450.998027
2015-04-29 14:02:450.992115
2015-04-29 14:02:450.982287
2015-04-29 14:02:450.968583
2015-04-29 14:02:450.951057
2015-04-29 14:02:450.929777
2015-04-29 14:02:450.904827
2015-04-29 14:02:450.876307
2015-04-29 14:02:450.844328
2015-04-29 14:02:450.809017
2015-04-29 14:02:450.770514
2015-04-29 14:02:450.728969
2015-04-29 14:02:450.684547
2015-04-29 14:02:450.637424
2015-04-29 14:02:450.587786
2015-04-29 14:02:450.535827
2015-04-29 14:02:450.481754
2015-04-29 14:02:450.42578
2015-04-29 14:02:450.368125
2015-04-29 14:02:450.309018
2015-04-29 14:02:450.24869
2015-04-29 14:02:450.187382
2015-04-29 14:02:450.125334
2015-04-29 14:02:450.062791
2015-04-29 14:02:450.000001
2015-04-29 14:02:45-0.06279
2015-04-29 14:02:45-0.125333
2015-04-29 14:02:45-0.187381
2015-04-29 14:02:45-0.248689
2015-04-29 14:02:45-0.309016
2015-04-29 14:02:45-0.368124
2015-04-29 14:02:45-0.425779
2015-04-29 14:02:45-0.481753
2015-04-29 14:02:45-0.535826
2015-04-29 14:02:45-0.587785
2015-04-29 14:02:45-0.637423
2015-04-29 14:02:45-0.684547
2015-04-29 14:02:45-0.728968
2015-04-29 14:02:45-0.770513
2015-04-29 14:02:45-0.809016
2015-04-29 14:02:45-0.844327
2015-04-29 14:02:45-0.876306
2015-04-29 14:02:45-0.904827
2015-04-29 14:02:45-0.929776
2015-04-29 14:02:45-0.951056
2015-04-29 14:02:45-0.968583
2015-04-29 14:02:45-0.982287
2015-04-29 14:02:45-0.992115
2015-04-29 14:02:45-0.998027
2015-04-29 14:02:45-1
2015-04-29 14:02:45-0.998027
2015-04-29 14:02:45-0.992115
2015-04-29 14:02:45-0.982287
2015-04-29 14:02:45-0.968583
2015-04-29 14:02:45-0.951057
2015-04-29 14:02:45-0.929777
2015-04-29 14:02:45-0.904828
2015-04-29 14:02:45-0.876307
2015-04-29 14:02:45-0.844329
2015-04-29 14:02:45-0.809018
2015-04-29 14:02:45-0.770514
2015-04-29 14:02:45-0.728969
2015-04-29 14:02:45-0.684548
2015-04-29 14:02:45-0.637425
2015-04-29 14:02:45-0.587786
2015-04-29 14:02:45-0.535828
2015-04-29 14:02:45-0.481755
2015-04-29 14:02:45-0.42578
2015-04-29 14:02:45-0.368126
2015-04-29 14:02:45-0.309018
2015-04-29 14:02:45-0.248691
2015-04-29 14:02:45-0.187383
2015-04-29 14:02:45-0.125335
2015-04-29 14:02:45-0.062792
